1,8
2,35
3,43
4,26
5,8
6,6
7,38
8,17
9,34
10,44
11,22
12,43
13,13
14,18
15,44
16,10
17,14
18,12
19,1
20,37
21,28
22,27
23,48
24,32
25,12
26,10
27,46
28,22
29,26
30,36
31,12
32,28
33,10
34,49
35,19
36,4
37,35
38,12
39,37
40,17
41,23
42,6
43,46
44,34
45,37
46,19
47,26
48,3
49,13
50,5
51,41
52,20
53,45
54,10
55,49
56,34
57,26
58,34
59,32
60,20
61,23
62,26
63,22
64,26
65,50
66,28
67,31
68,26
69,26
70,4
71,12
72,23
73,50
74,2
75,38
76,2
77,15
78,38
79,13
80,50
81,13
82,40
83,13
84,40
85,32
86,25
87,47
88,1
89,13
90,40
91,4
92,0
93,6
94,2
95,37
96,47
97,13
98,7
99,16
100,0
101,16
102,33
103,17
104,1
105,42
106,50
107,26
108,27
109,15
110,23
111,1
112,27
113,9
114,25
115,34
116,32
117,14
118,36
119,26
120,46
121,8
122,48
123,28
124,28
125,31
126,0
127,31
128,28
129,14
130,47
131,14
132,44
133,10
134,34
135,35
136,47
137,12
138,30
139,50
140,36
141,46
142,27
143,14
144,35
145,4
146,34
147,23
148,26
149,26
150,4
151,15
152,27
153,37
154,18
155,11
156,50
157,16
158,7
159,21
160,25
161,11
162,42
163,2
164,20
165,26
166,12
167,48
168,0
169,9
170,25
171,48
172,13
173,28
174,18
175,1
176,5
177,45
178,26
179,30
180,32
181,12
182,17
183,50
184,22
185,6
186,4
187,41
188,0
189,12
190,25
191,20
192,13
193,5
194,39
195,7
196,46
197,20
198,28
199,16
200,0
201,26
202,22
203,46
204,12
205,2
206,7
207,36
208,22
209,40
210,45
211,16
212,23
213,15
214,26
215,50
216,17
217,1
218,11
219,14
220,22
221,32
222,29
223,27
224,50
225,11
226,35
227,7
228,39
229,18
230,50
231,24
232,46
233,44
234,34
235,0
236,12
237,44
238,50
239,36
240,46
241,29
242,10
243,8
244,9
245,26
246,46
247,22
248,27
249,48
250,41
251,27
252,0
253,49
254,48
255,27
256,2
257,11
258,39
259,37
260,45
261,18
262,3
263,39
264,21
265,3
266,44
267,14
268,36
269,10
270,2
271,16
272,41
273,22
274,42
275,29
276,6
277,30
278,3
279,29
280,17
281,49
282,26
283,40
284,40
285,32
286,44
287,22
288,26
289,49
290,35
291,16
292,49
293,4
294,10
295,42
296,48
297,24
298,32
299,4
300,7
301,24
302,14
303,23
304,20
305,50
306,8
307,4
308,1
309,47
310,10
311,22
312,17
313,19
314,41
315,31
316,41
317,25
318,36
319,21
320,37
321,21
322,15
323,32
324,30
325,50
326,13
327,1
328,17
329,6
330,40
331,36
332,1
333,30
334,26
335,24
336,28
337,6
338,12
339,19
340,23
341,37
342,10
343,24
344,14
345,12
346,26
347,0
348,18
349,1
350,39
351,47
352,21
353,41
354,9
355,3
356,3
357,8
358,28
359,25
360,23
361,2
362,37
363,40
364,12
365,15
366,35
367,8
368,42
369,11
370,1
371,8
372,47
373,7
374,17
375,28
376,33
377,1
378,43
379,23
380,31
381,30
382,32
383,25
384,19
385,12
386,47
387,40
388,36
389,12
390,27
391,21
392,3
393,22
394,32
395,38
396,22
397,13
398,12
399,20
400,0
401,29
402,33
403,16
404,44
405,30
406,13
407,4
408,41
409,40
410,31
411,11
412,6
413,26
414,23
415,5
416,18
417,39
418,50
419,3
420,4
421,12
422,31
423,1
424,16
425,17
426,16
427,14
428,7
429,17
430,26
431,12
432,0
433,23
434,15
435,4
436,7
437,13
438,36
439,31
440,16
441,26
442,17
443,38
444,26
445,16
446,36
447,10
448,48
449,47
450,38
451,28
452,41
453,16
454,39
455,2
456,37
457,27
458,17
459,7
460,26
461,38
462,26
463,21
464,5
465,26
466,1
467,18
468,42
469,21
470,23
471,8
472,31
473,4
474,50
475,47
476,28
477,3
478,32
479,26
480,46
481,16
482,14
483,14
484,50
485,1
486,10
487,31
488,7
489,1
490,17
491,8
492,16
493,28
494,43
495,43
496,1
497,19
498,31
499,31
500,39
501,6
502,31
503,29
504,37
505,1
506,34
507,41
508,38
509,3
510,34
511,20
512,1
513,39
514,19
